Solvent,Label,Value
nitromethane,67M,"J.C. Marchon and J. Badoz-Lambling, Bull. Soc. Chim. Fr., 4660 (1967)."
nitromethane,68K,"B.A. Korolev and B.I. Stepanov, lzv. Vyssh. Ucheb. Zaved., Ser. Khim. i Khim. Tekhnol., 11, 1193 (1968)."
nitromethane,68M,"T.Ya. Medved, B.A. Korolev, K.S. Yudina, B.I. Stepanov and M.I. Kabachnik,Teor.  Eksp. Khim., 4, 116 (1968); Theor. Exp. Chem., 4, 75 (1968). "
HMPA,68M,"C. Madic and B: Tremillon, Bull. Soc. Chim. Fr., 1634 (1968)."
nitromethane,69J,"T. Jasinskii and Z. Pawlak, Rocz. Chem., 43, 133 (1969). "
nitromethane,69K,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969)."
nitromethane,69S,"B.I. Stepanov, B.A. Korolev and A.I. Bokanov, Zh. Obshch. Khim., 39, 316 (1969); J. Gen. Chem. USSR, 39, 295 (1969)."
sulfolane,70B,"R.L. Benoit, C. Buisson and G. Choux, Can. J. Chem., 48, 2353 (1970). "
DMA,70K,"A.P. Kreshkov, N.Sh. Aldarova and B.B. Tanganov, Zh. Fiz. Khim., 44, 2089 (1970); Russ. J. Phys. Chem., 44, 1186 (1970)."
HMPA,70K,"A.P. Kreshkov, N.Sh. Aldarova and B.B. Tanganov, Zh. Fiz. Khim., 44, 2089 (1970); Russ. J. Phys. Chem., 44, 1186 (1970)."
NMP,70K,"A.P. Kreshkov, N.Sh. Aldarova and B.B. Tanganov, Zh. Fiz. Khim., 44, 2089 (1970); Russ. J. Phys. Chem., 44, 1186 (1970)."
sulfolane,70K,"A.P. Kreshkov, N.Sh. Aldarova and B.B. Tanganov, Zh. Fiz. Khim., 44, 2089 (1970); Russ. J. Phys. Chem., 44, 1186 (1970)."
sulfolane,71B,"R.L. Benoit, A.L. Beauchamp and R. Domain, Inorg. Nucl. Chem. Lett., 7, 557 (1971). "
sulfolane,71C,"J.F. Coetzee and R.J. Bertozzi, Anal. Chem., 43, 961 (1971)."
