Name,SMILES,InChI,Solvent,Proton Transfer Type,pKa Type,pKa Type (Standardized),pKa Value (Corrected),pKa Value,pKa Value Uncertainty,Temperature,Temperature Uncertainty,Method,Method (code),Ionic Strength,Water Content,Homoconjugation and Other Reactions,Indicator type,Remarks,Remarks (code),Additional info,Reference,Reference (code),Standard,Standard (code)
"1,1,3,3-Tetramethylguanidine",CN(C)C(=N)N(C)C,"InChI=1S/C5H13N3/c1-7(2)5(6)8(3)4/h6H,1-4H3",DMA,basic,pK1,pKaH1,12.55,12.55,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
"1,1,3,3-Tetramethylguanidine",CN(C)C(=N)N(C)C,"InChI=1S/C5H13N3/c1-7(2)5(6)8(3)4/h6H,1-4H3",DMA,basic,pK1,pKaH1,12.5,12.5,,,,Potentiometric (glass electrode),P(G),~1E-2M,,,,pKa was determined potentiometrically in solutions containing the acid (or the base) and its conjugate base (or acid). HClO4  p-toluenesulfonic acid were assumed to be completely dissociated. ,*5,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
1-(p-Dimethylaminophenylazo)-pyridine,CN(C)c1ccc(N=NN2C=CC=CC2)cc1,"InChI=1S/C13H16N4/c1-16(2)13-8-6-12(7-9-13)14-15-17-10-4-3-5-11-17/h3-10H,11H2,1-2H3",DMA,indicator,pK1,pK1,1.65,1.65,0.2,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Acetic acid,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",DMA,acidic,pK1,pKa1,12.6,12.6,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Adipic acid,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",DMA,acidic,pK1,pKa1,11.2,11.2,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Adipic acid,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",DMA,acidic,pK2,pKa2,12.4,12.4,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Anthracene,c1ccc2cc3ccccc3cc2c1,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,DMA,acidic,pK1,pKa1,27,27,,,,Voltammetric,V,0.1M,~0,,,"Trace water in DMA was removed by adding sodium bis(methoxy-2-ethoxy)aluminohydride NaAIH2(O-CH2-CH2- OCH3)2. The dehydrated DMA gave a pH range of ca. 45 units, as obtained by voltammetry at a hydrogen electrode. pKa of the acid was obtained by using the standard potential of the hydrogen electrode. ",*6,,"M. Breant and J. Georges, C.R. Acad. Sci., Paris, C280, 457 (1975). ",75B,,
Benzoic acid,O=C(O)c1ccccc1,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",DMA,acidic,pK1,pKa1,11,11,,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Chloroacetic acid,O=C(O)CCl,"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)",DMA,acidic,pK1,pKa1,8.75,8.75,0.3,,,Potentiometric (hydrogen electrode),P(H),,,,,"pKa was determined in the presence of Et4NClO4 from the half-neutralization potential of the acid with 0.1M Bu4NOH (in MeOH-iso-PrOH). The hydrogen electrode was calibrated in dil. HClO4 assuming  its complete dissociation. When pK1and pK2 for a dibasic acid were close to each other, the method of Martin (J. Phys. Chem., 75, 2657 (1971) was employed. ",*4,,"M. Breant and J. Georges, J. Electroanal. Chem., 68, 165 (1976). ",76B,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
Chrome Azurol S,CC1=C/C(=C(/c2cc(C)c([O-])c(C(=O)[O-])c2)c2c(Cl)ccc(S(=O)(=O)[O-])c2Cl)C=C(C(=O)O)C1=O.[Na+].[Na+].[Na+],"InChI=1S/C23H16Cl2O9S.3Na/c1-9-5-11(7-13(20(9)26)22(28)29)17(12-6-10(2)21(27)14(8-12)23(30)31)18-15(24)3-4-16(19(18)25)35(32,33)34;;;/h3-8,26H,1-2H3,(H,28,29)(H,30,31)(H,32,33,34);;;/q;3*+1/p-3",DMA,indicator,pK1,pK1,3.2,3.2,,,,Spectrophometric,S,~1E-2M,,,,"pKa was obtained by the overlapping indicator method in solutions containing the acid (or the base) and its conjugate base (or acid), both in ca. 10-2M, and an appropriate indicator (10-5M). HClO4 and p-toluenesulfonic acid were assumed to be completely dissociated. ",*3,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B1,Group A: Complete dissociations of HClO4 and p-toluenesulfonic acid.,A
